50,5.141617,3.970532,4.137447,7.543787,
100,4.695543,3.729223,4.019904,7.238880,
150,3.732820,3.614766,3.918598,7.288917,
200,3.538182,3.532652,4.198798,7.362191,
250,3.371138,3.555508,4.340145,7.229862,
300,3.316022,3.553297,16.547802,7.646872,
350,3.427511,3.556001,18.676282,7.668813,
400,9.007604,3.508360,19.937314,8.047059,
450,10.417121,3.540773,22.387808,7.819844,
500,12.005421,3.511412,24.248747,7.974195,
550,12.468949,3.527893,24.984406,7.961246,
600,12.613272,3.484318,25.264582,8.122085,
650,12.756942,3.519561,25.506522,8.002090,
700,12.939293,3.523992,25.741982,8.064944,
750,13.453332,3.693652,26.140371,8.025404,
800,12.440006,4.381335,24.352403,8.723560,
850,15.825846,5.487678,28.078595,8.098478,
900,16.186169,7.236496,28.844783,8.178801,
950,18.116191,8.953860,29.879635,8.202858,
1000,16.708994,10.475799,30.434173,8.402645,

